ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_ID,Map_Name
205,Mattole,,,,matt1238,traditional,haynie2019modern,features,Fig. 1
206,Mayo,,,,mayo1264,traditional,haynie2019modern,features,Fig. 1
207,Meherrin,,,,mehe1242,traditional,haynie2019modern,features,Fig. 1
208,Menominee,,,,meno1252,traditional,haynie2019modern,features,Fig. 1
209,Mephaa,,,,meph1234,traditional,haynie2019modern,features,Fig. 1
210,Mescalero-Chiricahua,,,,mesc1238,traditional,haynie2019modern,features,Fig. 1
211,Mezquital Otomi,,,,mezq1235,traditional,haynie2019modern,features,Fig. 1
212,Miami,,,,nucl1653,traditional,haynie2019modern,features,Fig. 1
213,Michoacán Nahuatl,,,,mich1245,traditional,haynie2019modern,features,Fig. 1
214,Micmac,,,,mikm1235,traditional,haynie2019modern,features,Fig. 1
215,Mikasuki,,,,mika1239,traditional,haynie2019modern,features,Fig. 1
216,"Mohawk",,,,moha1258,traditional,haynie2019modern,features,Fig. 1
217,Mohegan-Pequot-Narragansett,,,,mohe1244,traditional,haynie2019modern,features,Fig. 1
218,Mojave,,,,moha1256,traditional,haynie2019modern,features,Fig. 1
219,Molala,,,,mola1238,traditional,haynie2019modern,features,Fig. 1
220,Mono,,,,mono1275,traditional,haynie2019modern,features,Fig. 1
221,Montagnais,,,,mont1268,traditional,haynie2019modern,features,Fig. 1
222,Mopán Maya,,,,mopa1243,traditional,haynie2019modern,features,Fig. 1
223,Munsee Delaware,,,,muns1251,traditional,haynie2019modern,features,Fig. 1
224,Mískito,,,,misk1235,traditional,haynie2019modern,features,Fig. 1
225,Nanticoke-Conoy,,,,nant1249,traditional,haynie2019modern,features,Fig. 1
226,Naolan,,,,naol1234,traditional,haynie2019modern,features,Fig. 1
227,Naskapi,,,,nask1242,traditional,haynie2019modern,features,Fig. 1
228,Nass-Gitksan,,,,gitx1241,traditional,haynie2019modern,features,Fig. 1
229,Navajo,,,,nava1243,traditional,haynie2019modern,features,Fig. 1
230,Nawathinehena,,,,nawa1259,traditional,haynie2019modern,features,Fig. 1
231,Neutral Iroquoian,,,,nort2947,traditional,haynie2019modern,features,Fig. 1
232,Nez Perce,,,,nezp1238,traditional,haynie2019modern,features,Fig. 1
233,Ngäbere,,,,ngab1239,traditional,haynie2019modern,features,Fig. 1
234,Nicola,,,,nico1265,traditional,haynie2019modern,features,Fig. 1
235,Nisenan,,,,nise1244,traditional,haynie2019modern,features,Fig. 1
236,Nooksack,,,,nook1247,traditional,haynie2019modern,features,Fig. 1
237,North Alaskan Inupiatun,,,,nort2943,traditional,haynie2019modern,features,Fig. 1
238,North Slavey,,,,nort2942,traditional,haynie2019modern,features,Fig. 1
239,Northeastern Pomo,,,,nort2967,traditional,haynie2019modern,features,Fig. 1
240,"NorthernPaiute",,,,nort2954,traditional,haynie2019modern,features,Fig. 1
241,Northern Alta Mixtec,,,,nort3199,traditional,haynie2019modern,features,Fig. 1
242,Northern Baja Mixtec,,,,nort3200,traditional,haynie2019modern,features,Fig. 1
243,Northern Core Zapotec,,,,nort2987,traditional,haynie2019modern,features,Fig. 1
244,Northern Ohlone,,,,nort2969,traditional,haynie2019modern,features,Fig. 1
245,Northern Pomo,,,,nort2966,traditional,haynie2019modern,features,Fig. 1
246,Northern Popolocan,,,,popo1294,traditional,haynie2019modern,features,Fig. 1
247,Northern Puebla Nahuatl,,,,nort2957,traditional,haynie2019modern,features,Fig. 1
248,Northern Sierra Miwok,,,,nort2968,traditional,haynie2019modern,features,Fig. 1
249,Northern Straits,,,,stra1244,traditional,haynie2019modern,features,Fig. 1
250,Northern Tepehuan,,,,nort2959,traditional,haynie2019modern,features,Fig. 1
251,Northern Tutchone,,,,nort2941,traditional,haynie2019modern,features,Fig. 1
